YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,NumberOfWindows,Geo_Code,Claim,Building_Age
2014,0.084931507,0,0,1,0.0,0,1300.0,2,3.0,4094,0,44.0
2014,1.0,0,0,1,0.0,0,2900.0,2,4.0,4094,1,34.0
2014,1.0,0,1,0,1.0,1,1300.0,2,,4112,0,26.0
2013,1.0,0,1,0,1.0,1,1300.0,2,,4112,0,25.0
2015,1.0,0,1,0,1.0,1,1300.0,2,,4112,0,27.0
2012,1.0,0,1,0,1.0,1,1592.0,2,,4126,0,32.0
2013,1.0,0,1,0,1.0,1,1592.0,2,,4126,0,33.0
2014,1.0,0,0,1,0.0,0,450.0,2,4.0,4166,0,34.0
2016,1.0,0,1,0,1.0,1,480.0,2,,4176,0,
2015,1.0,1,0,1,0.0,0,487.0,2,3.0,4197,0,35.0
2015,1.0,0,0,1,0.0,0,1550.0,1,4.0,5004,1,43.0
2016,0.99726776,0,0,1,0.0,0,1550.0,1,4.0,5004,0,44.0
2014,1.0,1,0,1,0.0,0,650.0,1,2.0,5004,1,4.0
2015,1.0,1,0,1,0.0,0,650.0,1,2.0,5004,0,5.0
2014,1.0,0,0,1,0.0,0,2600.0,1,6.0,5023,1,43.0
2013,1.0,0,1,0,1.0,1,1314.0,1,,5023,1,25.0
2013,1.0,0,0,0,1.0,1,2960.0,1,,5023,0,25.0
2015,1.0,0,0,0,1.0,1,2960.0,1,,5023,0,27.0
2015,1.0,0,0,0,1.0,1,1386.0,1,,5023,0,27.0
2012,1.0,0,0,0,1.0,1,1100.0,1,,5023,0,24.0
2013,1.0,0,0,0,1.0,1,1100.0,1,,5023,1,25.0
2014,1.0,0,0,1,0.0,0,680.0,1,3.0,5023,0,19.0
2015,0.857534247,0,0,0,1.0,1,3325.0,1,,5023,0,27.0
2013,1.0,0,0,0,1.0,1,1254.0,1,,5023,1,53.0
2012,1.0,0,0,0,1.0,1,1000.0,1,,5023,0,24.0
2015,1.0,0,0,0,1.0,1,1842.0,1,,5023,0,27.0
2015,0.295890411,0,0,0,1.0,1,300.0,1,,5026,0,35.0
2013,1.0,0,0,0,1.0,1,1113.0,1,,5026,0,25.0
2013,1.0,0,0,1,0.0,0,310.0,1,3.0,5052,0,113.0
2016,0.99726776,0,1,0,1.0,1,736.0,1,,5052,0,56.0
2013,1.0,0,0,1,0.0,0,2050.0,1,5.0,5061,0,6.0
2014,1.0,0,0,1,0.0,0,2050.0,1,5.0,5061,0,7.0
2013,1.0,1,0,1,0.0,0,1262.0,1,3.0,5061,0,7.0
2012,1.0,0,0,0,1.0,1,470.0,1,,5061,0,52.0
2014,1.0,0,0,0,1.0,1,2400.0,1,,5061,0,34.0
2012,1.0,0,0,1,0.0,0,6510.0,1,7.0,5061,1,24.0
2014,1.0,0,0,0,1.0,1,320.0,1,,5061,0,54.0
2012,1.0,0,0,1,0.0,0,425.0,1,3.0,5061,0,32.0
2012,1.0,0,0,0,1.0,1,1500.0,1,,5065,0,24.0
2013,1.0,0,0,0,1.0,1,900.0,1,,5077,0,25.0
2012,1.0,0,1,0,1.0,1,600.0,1,,5077,0,24.0
2016,0.99726776,0,1,0,1.0,1,2000.0,1,,5085,0,28.0
2012,1.0,0,1,0,1.0,1,1000.0,1,,5085,0,24.0
2013,1.0,0,1,0,1.0,1,1000.0,1,,5085,0,25.0
2016,0.99726776,0,1,0,1.0,1,1000.0,1,,5085,0,28.0
2016,1.0,0,0,0,1.0,1,1650.0,1,,5110,0,36.0
2012,1.0,0,0,0,1.0,1,850.0,1,,5110,0,32.0
2015,1.0,0,0,0,1.0,1,850.0,1,,5110,0,35.0
2016,0.99726776,0,0,0,1.0,1,2600.0,1,,5110,0,28.0
2013,1.0,0,1,0,1.0,1,3500.0,1,,5110,1,25.0
2014,1.0,0,1,0,1.0,1,260.0,1,,5110,0,26.0
2015,1.0,0,0,1,0.0,0,530.0,1,4.0,5133,0,16.0
2013,1.0,0,0,1,0.0,0,4700.0,1,5.0,5133,1,44.0
2015,1.0,1,1,0,1.0,1,838.0,1,,5145,0,55.0
2013,1.0,0,1,0,1.0,1,1728.0,1,,5161,0,25.0
2013,1.0,0,0,0,1.0,1,1024.0,1,,5168,0,53.0
2015,1.0,0,0,1,0.0,0,1440.0,1,5.0,5177,0,30.0
2012,1.0,0,0,0,1.0,1,300.0,1,,5177,0,32.0
2012,0.0,0,0,0,1.0,1,1700.0,1,,5177,0,32.0
2016,0.0,0,0,0,1.0,1,1700.0,1,,5177,0,36.0
2015,1.0,0,0,1,0.0,0,3688.0,1,,5177,1,35.0
2013,1.0,0,0,1,0.0,0,900.0,1,5.0,5177,0,43.0
2013,1.0,0,0,0,1.0,1,3000.0,1,,5177,0,33.0
2013,1.0,0,0,1,0.0,0,1170.0,1,5.0,5177,0,41.0
2016,0.99726776,0,0,1,0.0,0,2976.0,1,9.0,5177,0,51.0
2013,1.0,0,0,0,1.0,1,4101.0,1,,5177,0,25.0
2014,1.0,0,0,1,0.0,0,800.0,4,4.0,6004,0,64.0
2016,0.99726776,0,0,1,0.0,0,3100.0,4,6.0,6004,0,35.0
2016,0.99726776,0,0,1,0.0,0,320.0,4,3.0,6004,0,45.0
2016,0.781420765,0,0,1,0.0,0,2490.0,4,6.0,6004,1,44.0
2016,0.99726776,0,0,1,0.0,0,1670.0,4,5.0,6004,0,41.0
2013,1.0,0,0,0,1.0,1,900.0,4,,6004,0,
2012,1.0,0,0,1,0.0,0,460.0,4,5.0,6004,0,72.0
2016,0.99726776,0,0,1,0.0,0,3500.0,4,4.0,6004,0,116.0
2014,1.0,0,1,0,1.0,1,14.0,4,,6004,0,26.0
2014,0.915068493,0,1,0,1.0,1,9570.0,4,,6004,0,
2012,1.0,0,0,1,0.0,0,1200.0,4,4.0,6004,0,15.0
2013,1.0,0,1,0,1.0,1,10.0,4,,6004,0,25.0
2012,1.0,0,0,1,0.0,0,570.0,4,3.0,6004,0,24.0
2016,0.99726776,0,0,1,0.0,0,3522.0,4,4.0,6004,0,13.0
2013,1.0,0,0,1,0.0,0,650.0,4,4.0,6007,0,23.0
2015,0.98630137,0,0,1,0.0,0,650.0,4,4.0,6007,0,25.0
2013,1.0,1,0,1,0.0,0,4112.0,4,7.0,6011,1,48.0
2014,1.0,0,0,1,0.0,0,4112.0,4,5.0,6011,0,54.0
2016,0.99726776,0,0,1,0.0,0,1470.0,4,6.0,6011,0,46.0
2015,1.0,0,1,0,1.0,1,600.0,4,,6012,0,55.0
2016,0.99726776,0,1,0,1.0,1,600.0,4,,6012,1,56.0
2013,1.0,1,1,0,1.0,1,380.0,4,,6012,0,53.0
2013,0.084931507,0,1,0,1.0,1,460.0,4,,6012,0,53.0
2012,1.0,0,1,0,1.0,1,5419.0,4,,6012,1,24.0
2016,1.0,0,1,0,1.0,1,5419.0,4,,6012,1,28.0
2012,1.0,1,0,1,0.0,0,2800.0,4,8.0,6012,1,72.0
2015,1.0,1,0,1,0.0,0,2800.0,4,8.0,6012,0,75.0
2016,0.99726776,1,0,1,0.0,0,2800.0,4,8.0,6012,0,76.0
2012,1.0,1,0,1,0.0,0,450.0,4,4.0,6012,0,92.0
2014,1.0,1,0,1,0.0,0,1380.0,4,5.0,6012,0,54.0
2012,1.0,0,0,1,0.0,0,428.0,4,4.0,6012,0,82.0
2015,1.0,1,0,1,0.0,0,1000.0,4,6.0,6012,0,75.0
2012,1.0,1,0,1,0.0,0,1100.0,4,7.0,6012,0,92.0
2015,0.161643836,1,0,1,0.0,0,520.0,4,5.0,6012,0,42.0
2013,1.0,1,0,1,0.0,0,300.0,4,3.0,6012,1,93.0
2015,1.0,1,0,1,0.0,0,300.0,4,3.0,6012,0,95.0
2016,1.0,1,0,1,0.0,0,300.0,4,3.0,6012,0,96.0
2012,1.0,1,0,1,0.0,0,3250.0,4,8.0,6012,1,21.0
2013,1.0,1,0,1,0.0,0,1000.0,4,5.0,6012,0,39.0
2012,1.0,1,0,1,0.0,0,660.0,4,5.0,6012,1,92.0
2015,1.0,1,0,1,0.0,0,300.0,4,4.0,6012,0,95.0
2012,1.0,1,0,1,0.0,0,550.0,4,5.0,6012,0,82.0
2014,1.0,1,0,1,0.0,0,550.0,4,5.0,6012,1,84.0
2014,1.0,0,0,1,0.0,0,1255.0,4,5.0,6012,1,94.0
2015,0.997260274,0,0,1,0.0,0,1255.0,4,5.0,6012,0,95.0
2014,1.0,0,0,1,0.0,0,5610.0,4,5.0,6012,1,94.0
2015,0.095890411,1,0,1,0.0,0,1800.0,4,6.0,6012,0,50.0
2016,0.99726776,1,0,1,0.0,0,1800.0,4,6.0,6012,0,51.0
2013,1.0,1,0,1,0.0,0,500.0,4,4.0,6012,0,73.0
2014,1.0,0,1,0,1.0,1,1500.0,4,,6012,1,34.0
2013,1.0,0,0,1,0.0,0,1850.0,4,4.0,6012,0,63.0
2015,1.0,1,1,0,1.0,1,950.0,4,,6012,1,55.0
2012,1.0,1,1,0,1.0,1,340.0,4,,6012,0,52.0
2015,1.0,1,1,0,1.0,1,340.0,4,,6012,0,55.0
2015,0.997260274,0,0,1,0.0,0,997.0,4,4.0,6012,0,55.0
2013,1.0,1,0,1,0.0,0,3336.0,4,5.0,6014,0,43.0
2013,1.0,0,0,1,0.0,0,3270.0,4,7.0,6014,1,33.0
2015,1.0,0,0,1,0.0,0,3270.0,4,7.0,6014,0,35.0
2013,0.665753425,0,1,0,1.0,1,300.0,4,,6016,0,53.0
2012,1.0,1,1,0,1.0,1,2235.0,4,,6027,0,52.0
2012,1.0,0,1,0,1.0,1,1400.0,4,,6027,0,32.0
2015,1.0,1,0,1,0.0,0,5586.0,4,5.0,6027,0,37.0
2016,1.0,1,0,1,0.0,0,5586.0,4,5.0,6027,0,38.0
2014,1.0,0,0,1,0.0,0,800.0,4,4.0,6027,1,47.0
2013,0.893150685,0,1,0,1.0,1,300.0,4,,6029,0,53.0
2013,1.0,0,1,0,1.0,1,4310.0,4,,6029,1,
2012,1.0,0,1,0,1.0,1,2160.0,4,,6029,1,32.0
2015,1.0,0,0,1,0.0,0,650.0,4,3.0,6029,1,55.0
2012,1.0,0,0,1,0.0,0,210.0,4,2.0,6029,0,85.0
2012,1.0,0,0,1,0.0,0,7063.0,4,7.0,6029,1,60.0
2013,1.0,0,0,1,0.0,0,1696.0,4,5.0,6029,0,6.0
2015,1.0,0,0,1,0.0,0,740.0,4,4.0,6029,0,75.0
2016,0.024590164,1,0,1,0.0,0,3300.0,4,2.0,6029,0,59.0
2013,1.0,0,0,1,0.0,0,350.0,4,4.0,6029,0,53.0
2012,1.0,1,0,0,1.0,1,400.0,4,,6029,0,32.0
2014,0.0,0,0,0,1.0,1,1000.0,4,,6029,1,
2015,0.893150685,0,0,0,1.0,1,162.0,4,,6029,0,
2014,1.0,0,1,0,1.0,1,320.0,4,,6029,0,54.0
2016,0.99726776,0,1,0,1.0,1,320.0,4,,6029,0,56.0
2015,0.580821918,1,0,0,1.0,1,18000.0,4,,6029,1,35.0
2012,1.0,0,0,0,1.0,1,1225.0,4,,6029,1,52.0
2015,1.0,0,1,0,1.0,1,400.0,4,,6030,0,55.0
2013,0.832876712,0,1,0,1.0,1,270.0,4,,6030,0,33.0
2012,1.0,0,0,1,0.0,0,740.0,4,4.0,6030,0,42.0
2012,1.0,0,0,1,0.0,0,1150.0,4,3.0,6030,0,34.0
2015,1.0,0,0,1,0.0,0,4200.0,4,4.0,6030,1,27.0
2015,0.260273973,0,0,1,0.0,0,100.0,4,3.0,6030,0,215.0
2013,0.747945205,1,1,0,1.0,1,900.0,4,,6030,0,25.0
2012,1.0,1,1,0,1.0,1,9920.0,4,,6030,1,32.0
2015,1.0,0,0,0,1.0,1,2625.0,4,,6030,0,35.0
2013,1.0,0,0,1,0.0,0,5350.0,4,7.0,6032,0,6.0
2014,0.915068493,1,0,0,1.0,1,270.0,4,,6032,0,54.0
2012,1.0,0,1,0,1.0,1,3406.0,4,,6032,0,24.0
2012,1.0,0,0,1,0.0,0,3700.0,4,7.0,6032,1,27.0
2015,1.0,0,0,1,0.0,0,3700.0,4,7.0,6032,1,30.0
2012,0.418032787,0,0,1,0.0,0,3369.0,4,3.0,6032,0,3.0
2013,1.0,0,0,1,0.0,0,3369.0,4,3.0,6032,1,4.0
2014,1.0,0,0,1,0.0,0,3369.0,4,3.0,6032,1,5.0
2013,0.104109589,0,0,0,1.0,1,4846.0,4,,6032,0,33.0
2014,1.0,0,0,0,1.0,1,7887.0,4,,6032,1,34.0
2013,1.0,0,0,0,1.0,1,1300.0,4,,6032,1,33.0
2014,0.769863014,0,0,0,1.0,1,1300.0,4,,6032,0,34.0
2013,1.0,1,0,1,0.0,0,4000.0,4,4.0,6033,1,33.0
2014,1.0,1,0,1,0.0,0,4000.0,4,4.0,6033,0,34.0
2013,1.0,0,0,1,0.0,0,171.0,4,3.0,6035,1,83.0
2015,1.0,0,0,1,0.0,0,171.0,4,3.0,6035,0,85.0
2013,1.0,0,0,1,0.0,0,570.0,4,2.0,6036,0,53.0
2014,1.0,0,1,0,1.0,1,65.0,4,,6036,0,54.0
2016,0.99726776,0,0,1,0.0,0,367.0,4,4.0,6044,0,31.0
2013,1.0,1,1,0,1.0,1,200.0,4,,6048,1,53.0
2012,1.0,1,1,0,1.0,1,400.0,4,,6057,1,52.0
2013,1.0,0,1,0,1.0,1,400.0,4,,6067,0,33.0
2016,1.0,0,1,0,1.0,1,400.0,4,,6067,0,36.0
2012,1.0,0,0,1,0.0,0,400.0,4,4.0,6069,0,72.0
2016,1.0,0,0,1,0.0,0,400.0,4,4.0,6069,0,76.0
2012,1.0,0,0,1,0.0,0,400.0,4,4.0,6069,0,92.0
2014,1.0,0,0,1,0.0,0,6300.0,4,5.0,6069,1,37.0
2012,1.0,0,0,1,0.0,0,250.0,4,5.0,6069,0,122.0
2014,1.0,0,0,1,0.0,0,750.0,4,3.0,6069,0,114.0
2013,0.024657534,0,0,0,1.0,1,400.0,4,,6069,0,53.0
2015,1.0,0,0,1,0.0,0,660.0,4,5.0,6069,1,66.0
2013,1.0,0,0,1,0.0,0,1100.0,4,3.0,6069,0,35.0
2013,1.0,0,0,1,0.0,0,530.0,4,6.0,6069,0,64.0
2012,1.0,0,0,1,0.0,0,3269.0,4,4.0,6070,0,37.0
2014,1.0,0,0,1,0.0,0,3269.0,4,4.0,6070,1,39.0
2015,1.0,0,0,1,0.0,0,3269.0,4,4.0,6070,0,40.0
2013,0.0,0,1,0,1.0,1,300.0,4,,6073,0,
2013,1.0,0,0,1,0.0,0,640.0,4,4.0,6077,0,62.0
2015,1.0,0,1,0,1.0,1,530.0,4,,6079,0,35.0
2013,1.0,0,0,1,0.0,0,450.0,4,3.0,6079,0,53.0
2013,1.0,0,0,1,0.0,0,3800.0,4,7.0,6079,0,53.0
2014,0.476712329,1,0,1,0.0,0,1140.0,4,3.0,6079,1,26.0
2013,1.0,0,0,1,0.0,0,400.0,4,5.0,6083,0,53.0
2012,1.0,0,1,0,1.0,1,130.0,4,,6083,0,52.0
2012,1.0,0,1,0,1.0,1,243.0,4,,6083,0,52.0
2013,0.865753425,0,1,0,1.0,1,243.0,4,,6083,0,53.0
2012,1.0,1,0,0,1.0,1,2106.0,4,,6083,1,32.0
2013,1.0,1,1,0,1.0,1,1842.0,4,,6083,0,25.0
2012,0.554644809,1,0,0,1.0,1,2713.0,4,,6083,0,32.0
2015,1.0,0,0,1,0.0,0,500.0,4,5.0,6083,0,65.0
2012,1.0,0,1,0,1.0,1,614.0,4,,6083,0,32.0
2014,1.0,0,0,1,0.0,0,1370.0,4,5.0,6083,0,6.0
2015,1.0,0,0,1,0.0,0,1370.0,4,5.0,6083,0,7.0
2015,1.0,0,1,0,1.0,1,430.0,4,,6083,0,55.0
2014,1.0,0,1,0,1.0,1,1563.0,4,,6083,0,34.0
2013,1.0,0,1,0,1.0,1,250.0,4,,6083,0,53.0
2013,0.832876712,0,1,0,1.0,1,1350.0,4,,6083,0,33.0
2014,1.0,0,1,0,1.0,1,480.0,4,,6083,0,54.0
2015,1.0,0,1,0,1.0,1,480.0,4,,6083,0,55.0
2014,1.0,0,1,0,1.0,1,1600.0,4,,6083,0,54.0
2014,1.0,0,1,0,1.0,1,5800.0,4,,6083,1,26.0
2016,0.99726776,0,0,1,0.0,0,1000.0,4,6.0,6083,0,44.0
2015,0.084931507,0,0,1,0.0,0,2000.0,4,6.0,6083,0,43.0
2016,0.99726776,0,0,1,0.0,0,2880.0,4,8.0,6083,1,46.0
2015,1.0,0,0,1,0.0,0,3343.0,4,7.0,6083,0,45.0
2014,1.0,0,0,1,0.0,0,10573.0,4,9.0,6083,0,42.0
2013,1.0,1,0,0,1.0,1,1853.0,4,,6083,0,25.0
2016,0.163934426,1,0,1,0.0,0,5939.0,4,6.0,6083,0,29.0
2016,1.0,0,0,1,0.0,0,518.0,4,4.0,6083,1,6.0
2015,1.0,0,0,1,0.0,0,3120.0,4,4.0,6083,0,15.0
2016,1.0,0,0,1,0.0,0,3120.0,4,4.0,6083,1,16.0
2014,1.0,0,0,1,0.0,0,450.0,4,6.0,6083,0,94.0
2014,1.0,0,0,1,0.0,0,12900.0,4,5.0,6083,0,44.0
2016,1.0,0,0,1,0.0,0,12900.0,4,5.0,6083,1,46.0
2015,1.0,0,0,1,0.0,0,450.0,4,3.0,6083,0,55.0
2012,1.0,0,0,1,0.0,0,1300.0,4,5.0,6083,1,52.0
2012,1.0,0,0,1,0.0,0,254.0,4,3.0,6083,1,112.0
2013,1.0,0,0,1,0.0,0,1050.0,4,4.0,6083,0,53.0
2013,1.0,0,0,1,0.0,0,4500.0,4,7.0,6083,0,2.0
2014,1.0,0,0,1,0.0,0,700.0,4,3.0,6083,1,54.0
2012,0.448087432,1,0,1,0.0,0,2712.0,4,6.0,6083,0,42.0
2015,1.0,1,0,1,0.0,0,2712.0,4,6.0,6083,0,45.0
2013,1.0,0,0,1,0.0,0,300.0,4,3.0,6083,0,93.0
2012,0.50273224,1,0,1,0.0,0,1120.0,4,1.0,6083,0,5.0
2014,1.0,0,0,1,0.0,0,5598.0,4,5.0,6083,1,34.0
2016,0.99726776,0,0,1,0.0,0,4500.0,4,5.0,6083,1,36.0
2016,0.75136612,1,0,1,0.0,0,2659.0,4,6.0,6083,0,54.0
2016,0.50273224,1,0,1,0.0,0,450.0,4,2.0,6083,0,116.0
2016,0.081967213,1,0,1,0.0,0,300.0,4,3.0,6083,0,116.0
2012,1.0,0,0,1,0.0,0,500.0,4,4.0,6083,0,82.0
2016,0.99726776,0,0,0,1.0,1,1619.0,4,,6083,0,36.0
2012,1.0,0,0,0,1.0,1,826.0,4,,6083,1,32.0
2016,0.99726776,0,0,0,1.0,1,826.0,4,,6083,0,36.0
2014,1.0,0,0,0,1.0,1,1365.0,4,,6083,0,54.0
2012,1.0,0,0,1,0.0,0,184.0,4,4.0,6083,0,52.0
2014,1.0,0,0,1,0.0,0,970.0,4,4.0,6083,0,64.0
2015,1.0,0,0,0,1.0,1,686.0,4,,6083,0,55.0
2014,1.0,0,0,1,0.0,0,900.0,4,5.0,6083,0,58.0
2013,1.0,0,0,1,0.0,0,3508.0,4,7.0,6083,1,38.0
2012,1.0,0,0,0,1.0,1,2900.0,4,,6083,1,52.0
2013,1.0,0,0,0,1.0,1,2900.0,4,,6083,1,53.0
2016,0.99726776,0,0,0,1.0,1,6984.0,4,,6083,0,36.0
2013,1.0,0,0,1,0.0,0,2034.0,4,7.0,6083,0,43.0
2014,1.0,0,1,0,1.0,1,7223.0,4,,6083,0,34.0
2015,1.0,0,0,0,1.0,1,9400.0,4,,6083,1,55.0
2014,1.0,0,0,0,1.0,1,4286.0,4,,6083,1,54.0
2012,1.0,0,0,0,1.0,1,1700.0,4,,6083,0,52.0
2015,1.0,0,0,0,1.0,1,1500.0,4,,6083,1,35.0
2014,1.0,0,0,1,0.0,0,8400.0,4,8.0,6083,1,34.0
2013,1.0,0,1,0,1.0,1,300.0,4,,6083,0,33.0
2012,1.0,0,0,0,1.0,1,4176.0,4,,6083,0,24.0
2013,1.0,0,0,0,1.0,1,4176.0,4,,6083,0,25.0
2013,1.0,0,0,1,0.0,0,3400.0,4,6.0,6083,1,53.0
2013,0.997260274,0,0,1,0.0,0,500.0,4,4.0,6083,1,53.0
2016,1.0,0,0,1,0.0,0,500.0,4,4.0,6083,0,56.0
2013,1.0,0,0,1,0.0,0,3501.0,4,5.0,6083,0,33.0
2013,1.0,1,0,0,1.0,1,1325.0,4,,6083,0,33.0
2014,1.0,1,0,0,1.0,1,1325.0,4,,6083,1,34.0
2015,1.0,0,0,1,0.0,0,9500.0,4,5.0,6083,1,22.0
2013,1.0,0,0,0,1.0,1,20.0,4,,6083,0,25.0
2015,1.0,0,0,0,1.0,1,20.0,4,,6083,0,27.0
2016,1.0,0,0,1,0.0,0,441.0,4,4.0,6083,0,56.0
2012,1.0,0,0,1,0.0,0,1137.0,4,5.0,6083,1,52.0
2015,1.0,1,1,0,1.0,1,250.0,4,,6083,0,55.0
2014,1.0,1,1,0,1.0,1,418.0,4,,6083,0,54.0
2016,1.0,0,1,0,1.0,1,860.0,4,,6083,0,36.0
2015,0.468493151,0,1,0,1.0,1,500.0,4,,6083,0,55.0
2014,0.797260274,0,0,0,1.0,1,3873.0,4,,6083,0,26.0
2012,1.0,0,0,1,0.0,0,3708.0,4,7.0,6083,0,42.0
2013,1.0,0,0,1,0.0,0,700.0,4,5.0,6083,1,38.0
2013,1.0,0,0,0,1.0,1,7300.0,4,,6083,1,33.0
2015,1.0,1,1,0,1.0,1,1080.0,4,,6083,0,55.0
2015,1.0,0,0,1,0.0,0,1446.0,4,4.0,6083,1,65.0
2014,1.0,1,1,0,1.0,1,357.0,4,,6083,0,54.0
2016,1.0,0,0,1,0.0,0,2230.0,4,5.0,6083,0,56.0
2016,1.0,0,0,1,0.0,0,1500.0,4,5.0,6083,0,116.0
2013,1.0,0,0,0,1.0,1,4700.0,4,,6083,1,33.0
2014,1.0,0,0,1,0.0,0,3757.0,4,4.0,6083,1,54.0
2014,1.0,0,0,0,1.0,1,3043.0,4,,6083,0,34.0
2016,0.99726776,0,1,0,1.0,1,317.0,4,,6083,0,36.0
2012,1.0,1,1,0,1.0,1,1702.0,4,,6083,0,52.0
2012,1.0,0,0,0,1.0,1,860.0,4,,6083,1,32.0
2012,1.0,0,1,0,1.0,1,400.0,4,,6083,0,32.0
2013,0.315068493,0,0,1,0.0,0,3450.0,4,7.0,6083,0,10.0
2013,1.0,0,0,0,1.0,1,3510.0,4,,6083,1,33.0
2012,1.0,0,0,0,1.0,1,1565.0,4,,6083,0,52.0
2012,1.0,0,0,1,0.0,0,4300.0,4,6.0,6083,1,72.0
2016,0.99726776,0,0,1,0.0,0,4300.0,4,6.0,6083,0,76.0
2014,1.0,0,0,1,0.0,0,6650.0,4,8.0,6083,1,102.0
2015,1.0,0,0,1,0.0,0,6650.0,4,8.0,6083,1,103.0
2015,1.0,1,1,0,1.0,1,1500.0,4,,6083,0,55.0
2016,0.99726776,0,0,1,0.0,0,2857.0,4,7.0,6083,1,66.0
2013,1.0,0,0,0,1.0,1,1178.0,4,,6083,0,33.0
2013,1.0,0,1,0,1.0,1,5785.0,4,,6083,1,33.0
2014,1.0,0,0,0,1.0,1,260.0,4,,6083,0,34.0
2012,1.0,0,0,0,1.0,1,60.0,4,,6084,0,24.0
2014,1.0,0,0,1,0.0,0,400.0,4,3.0,6085,0,31.0
2013,1.0,1,1,0,1.0,1,279.0,4,,6088,0,33.0
2013,0.594520548,1,1,0,1.0,1,1196.0,4,,6088,0,33.0
2012,1.0,1,1,0,1.0,1,670.0,4,,6088,1,32.0
2014,1.0,0,0,1,0.0,0,1984.0,4,7.0,6088,1,60.0
2014,1.0,1,1,0,1.0,1,450.0,4,,6088,0,54.0
2012,1.0,0,1,0,1.0,1,234.0,4,,6088,0,52.0
2012,1.0,1,0,1,0.0,0,4400.0,4,6.0,6088,1,47.0
2013,1.0,1,0,1,0.0,0,4400.0,4,6.0,6088,1,48.0
2014,1.0,1,0,1,0.0,0,412.0,4,3.0,6088,0,54.0
2015,1.0,1,0,1,0.0,0,412.0,4,3.0,6088,0,55.0
2014,1.0,0,1,0,1.0,1,600.0,4,,6088,0,34.0
2012,1.0,0,0,1,0.0,0,1980.0,4,4.0,6088,1,52.0
2014,1.0,0,1,0,1.0,1,870.0,4,,6088,0,54.0
2012,1.0,0,0,1,0.0,0,2100.0,4,5.0,6088,1,44.0
2013,1.0,0,0,1,0.0,0,12721.0,4,8.0,6088,1,53.0
2015,1.0,0,0,1,0.0,0,12721.0,4,8.0,6088,1,55.0
2016,0.99726776,0,0,1,0.0,0,12721.0,4,8.0,6088,0,56.0
2012,1.0,1,1,0,1.0,1,1260.0,4,,6088,0,32.0
2012,1.0,1,0,1,0.0,0,520.0,4,3.0,6088,1,52.0
2012,0.74863388,0,1,0,1.0,1,1930.0,4,,6088,0,52.0
